star  ID  origin  snr R HIP_ID  Group Teff  eTeff logg  elogg vmic_GES  vmac_GES  vsini e_vsini [Fe/H]  e[Fe/H] [Ca/H]  e[Ca/H] [Co/H]  e[Co/H] [Cr/H]  e[Cr/H] [Mg/H]  e[Mg/H] [Mn/H]  e[Mn/H] [Ni/H]  e[Ni/H] [Sc/H]  e[Sc/H] [Si/H]  e[Si/H] [Ti/H]  e[Ti/H] [V/H] e[V/H]
18Sco ESPaDOnS_18Sco-1  BS_ESPaDOnS 383.0 65000.0 HIP79672  G dwarfs  5810  80  4.44  0.03  1.072 4.059 2.2 1.2 0.01  0.03  0.06  0.06  0.02  0.07  0.05  0.06  0.04  0.05  0.04  0.09  0.04  0.07  0.04  0.05  0.05  0.03  0.05  0.08  0.04  0.07
18Sco HARPS.Archive_18Sco BS_HARPS  168.0 115000.0  HIP79672  G dwarfs  5810  80  4.44  0.03  1.072 4.059 2.2 1.2 0.01  0.03  0.06  0.06  0.02  0.07  0.05  0.06  0.04  0.05  0.04  0.09  0.04  0.07  0.04  0.05  0.05  0.03  0.05  0.08  0.04  0.07
18Sco NARVAL_18Sco  BS_NARVAL 380.0 80000.0 HIP79672  G dwarfs  5810  80  4.44  0.03  1.072 4.059 2.2 1.2 0.01  0.03  0.06  0.06  0.02  0.07  0.05  0.06  0.04  0.05  0.04  0.09  0.04  0.07  0.04  0.05  0.05  0.03  0.05  0.08  0.04  0.07
61CygA  ESPaDOnS_61CygA-1 BS_ESPaDOnS 810.0 65000.0 HIP104214 K dwarfs  4374  22  4.63  0.04  0.838 4.255 0.0 0.8 -0.33 0.38  -0.36 0.12  -0.3  0.21  -0.34 0.14  -0.18 0.13  -0.42 0.16  -0.39 0.14  -0.32 0.18  -0.29 0.1 -0.29 0.12  -0.33 0.15
61CygA  NARVAL_61CygA BS_NARVAL 363.0 80000.0 HIP104214 K dwarfs  4374  22  4.63  0.04  0.838 4.255 0.0 0.8 -0.33 0.38  -0.36 0.12  -0.3  0.21  -0.34 0.14  -0.18 0.13  -0.42 0.16  -0.39 0.14  -0.32 0.18  -0.29 0.1 -0.29 0.12  -0.33 0.15
61CygB  ESPaDOnS_61CygB-1 BS_ESPaDOnS 599.0 65000.0 HIP104217 K dwarfs  4044  32  4.67  0.04  0.827 4.989 1.7 0.6 -0.38 0.03  -0.4  0.07  -0.34 0.16  -0.34 0.12  -0.06 0.08  -0.44 0.11  -0.43 0.13  -0.32 0.09  -0.33 0.2 -0.37 0.12  -0.44 0.13
61CygB  NARVAL_61CygB BS_NARVAL 452.0 80000.0 HIP104217 K dwarfs  4044  32  4.67  0.04  0.827 4.989 1.7 0.6 -0.38 0.03  -0.4  0.07  -0.34 0.16  -0.34 0.12  -0.06 0.08  -0.44 0.11  -0.43 0.13  -0.32 0.09  -0.33 0.2 -0.37 0.12  -0.44 0.13
Arcturus  ATLAS.Arcturus  BS_ATLAS  185.0 150000.0  HIP69673  FGK giants  4286  35  1.64  0.09  1.249 5.072 3.8 1.0 -0.53 0.08  -0.41 0.13  -0.41 0.07  -0.58 0.08  -0.16 0.11  -0.89 0.16  -0.49 0.1 -0.43 0.15  -0.25 0.07  -0.31 0.11  -0.44 0.14
Arcturus  HARPS.Archive_Arcturus  BS_HARPS  475.0 115000.0  HIP69673  FGK giants  4286  35  1.64  0.09  1.249 5.072 3.8 1.0 -0.53 0.08  -0.41 0.13  -0.41 0.07  -0.58 0.08  -0.16 0.11  -0.89 0.16  -0.49 0.1 -0.43 0.15  -0.25 0.07  -0.31 0.11  -0.44 0.14
Arcturus  NARVAL_Arcturus BS_NARVAL 379.0 80000.0 HIP69673  FGK giants  4286  35  1.64  0.09  1.249 5.072 3.8 1.0 -0.53 0.08  -0.41 0.13  -0.41 0.07  -0.58 0.08  -0.16 0.11  -0.89 0.16  -0.49 0.1 -0.43 0.15  -0.25 0.07  -0.31 0.11  -0.44 0.14
Arcturus  UVES_Arcturus-1 BS_UVES 283.0 95000.0 HIP69673  FGK giants  4286  35  1.64  0.09  1.249 5.072 3.8 1.0 -0.53 0.08  -0.41 0.13  -0.41 0.07  -0.58 0.08  -0.16 0.11  -0.89 0.16  -0.49 0.1 -0.43 0.15  -0.25 0.07  -0.31 0.11  -0.44 0.14
Arcturus  UVES.POP_Arcturus BS_UVES.POP 1208.0  80000.0 HIP69673  FGK giants  4286  35  1.64  0.09  1.249 5.072 3.8 1.0 -0.53 0.08  -0.41 0.13  -0.41 0.07  -0.58 0.08  -0.16 0.11  -0.89 0.16  -0.49 0.1 -0.43 0.15  -0.25 0.07  -0.31 0.11  -0.44 0.14
Gmb1830 NARVAL_Gmb1830  BS_NARVAL 406.0 80000.0 HIP57939  K dwarfs  4827  55  4.6 0.03  0.809 3.489 0.5 0.4 -1.46 0.39  -1.24 0.1 -1.38 0.14  -1.55 0.16  -1.14 0.11  -1.79 0.2 -1.5  0.17  -1.26 0.15  -1.15 0.1 -1.24 0.14  -1.4  0.13
HD102200  UVES_HD102200 BS_UVES 160.0 51690.0 HIP57360  Metal-poor  6155  80  4.22  0.07  1.43  6.81  1.9 4.59  -1.16 0.14  NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
HD106038  UVES_HD106038 BS_UVES 254.0 47254.0 HIP59490  Metal-poor  6121  80  4.55  0.14  1.39  7.11  0.0 0.0 -1.27 0.13  NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
HD107328  HARPS.GBOG_HD107328 BS_HARPS  459.0 115000.0  HIP60172  FGK giants  4496  59  2.09  0.13  1.23  4.572 1.9 1.2 -0.34 0.16  -0.32 0.12  -0.18 0.08  -0.41 0.07  -0.08 0.11  -0.68 0.13  -0.32 0.08  -0.34 0.09  -0.12 0.09  -0.13 0.12  -0.2  0.13
HD107328  NARVAL_HD107328 BS_NARVAL 375.0 80000.0 HIP60172  FGK giants  4496  59  2.09  0.13  1.23  4.572 1.9 1.2 -0.34 0.16  -0.32 0.12  -0.18 0.08  -0.41 0.07  -0.08 0.11  -0.68 0.13  -0.32 0.08  -0.34 0.09  -0.12 0.09  -0.13 0.12  -0.2  0.13
HD122563  ESPaDOnS_HD122563 BS_ESPaDOnS 447.0 65000.0 HIP68594  FGK giants  4587  60  1.61  0.07  1.129 6.134 5.0 2.0 -2.74 0.22  -2.43 0.1 -2.64 0.09  -3.08 0.15  -2.35 0.1 -3.1  0.17  -2.69 0.13  -2.5  0.11  -2.33 0.09  -2.5  0.15  -2.7  0.13
HD122563  HARPS.GBOG_HD122563 BS_HARPS  441.0 115000.0  HIP68594  FGK giants  4587  60  1.61  0.07  1.129 6.134 5.0 2.0 -2.74 0.22  -2.43 0.1 -2.64 0.09  -3.08 0.15  -2.35 0.1 -3.1  0.17  -2.69 0.13  -2.5  0.11  -2.33 0.09  -2.5  0.15  -2.7  0.13
HD122563  NARVAL_HD122563 BS_NARVAL 345.0 80000.0 HIP68594  FGK giants  4587  60  1.61  0.07  1.129 6.134 5.0 2.0 -2.74 0.22  -2.43 0.1 -2.64 0.09  -3.08 0.15  -2.35 0.1 -3.1  0.17  -2.69 0.13  -2.5  0.11  -2.33 0.09  -2.5  0.15  -2.7  0.13
HD122563  UVES_HD122563-1 BS_UVES 318.0 72000.0 HIP68594  FGK giants  4587  60  1.61  0.07  1.129 6.134 5.0 2.0 -2.74 0.22  -2.43 0.1 -2.64 0.09  -3.08 0.15  -2.35 0.1 -3.1  0.17  -2.69 0.13  -2.5  0.11  -2.33 0.09  -2.5  0.15  -2.7  0.13
HD122563  UVES.POP_HD122563 BS_UVES.POP 679.0 80000.0 HIP68594  FGK giants  4587  60  1.61  0.07  1.129 6.134 5.0 2.0 -2.74 0.22  -2.43 0.1 -2.64 0.09  -3.08 0.15  -2.35 0.1 -3.1  0.17  -2.69 0.13  -2.5  0.11  -2.33 0.09  -2.5  0.15  -2.7  0.13
HD140283  ESPaDOnS_HD140283-1 BS_ESPaDOnS 1016.0  65000.0 HIP76976  FGK subgiants 5522  105 3.58  0.11  1.042 5.707 5.0 2.0 -2.43 0.1 -2.31 0.11  NaN NaN -2.89 0.18  -2.33 0.07  -2.78 0.08  -2.61 0.11  -2.67 0.07  -2.25 0.06  -2.42 0.12  NaN NaN
HD140283  HARPS.GBOG_HD140283-1 BS_HARPS  628.0 115000.0  HIP76976  FGK subgiants 5522  105 3.58  0.11  1.042 5.707 5.0 2.0 -2.43 0.1 -2.31 0.11  NaN NaN -2.89 0.18  -2.33 0.07  -2.78 0.08  -2.61 0.11  -2.67 0.07  -2.25 0.06  -2.42 0.12  NaN NaN
HD140283  NARVAL_HD140283 BS_NARVAL 309.0 80000.0 HIP76976  FGK subgiants 5522  105 3.58  0.11  1.042 5.707 5.0 2.0 -2.43 0.1 -2.31 0.11  NaN NaN -2.89 0.18  -2.33 0.07  -2.78 0.08  -2.61 0.11  -2.67 0.07  -2.25 0.06  -2.42 0.12  NaN NaN
HD140283  UVES_HD140283-1 BS_UVES 293.0 78000.0 HIP76976  FGK subgiants 5522  105 3.58  0.11  1.042 5.707 5.0 2.0 -2.43 0.1 -2.31 0.11  NaN NaN -2.89 0.18  -2.33 0.07  -2.78 0.08  -2.61 0.11  -2.67 0.07  -2.25 0.06  -2.42 0.12  NaN NaN
HD140283  UVES.POP_HD140283 BS_UVES.POP 861.0 80000.0 HIP76976  FGK subgiants 5522  105 3.58  0.11  1.042 5.707 5.0 2.0 -2.43 0.1 -2.31 0.11  NaN NaN -2.89 0.18  -2.33 0.07  -2.78 0.08  -2.61 0.11  -2.67 0.07  -2.25 0.06  -2.42 0.12  NaN NaN
HD175305  NARVAL_HD175305 BS_NARVAL 131.0 80000.0 HIP92167  Metal-poor  5059  80  2.53  0.14  1.54  5.21  5.01  1.92  -1.35 0.14  NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
HD201891  UVES_HD201891 BS_UVES 107.0 66320.0 HIP104659 Metal-poor  5948  80  4.3 0.04  1.29  5.93  2.93  5.31  -1.0  0.12  NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
HD220009  HARPS.GBOG_HD220009 BS_HARPS  347.0 115000.0  HIP115227 FGK giants  4217  59  1.43  0.12  1.227 5.414 1.0 1.0 -0.75 0.13  -0.49 0.07  -0.67 0.07  -0.74 0.07  -0.35 0.09  -1.11 0.13  -0.74 0.07  -0.64 0.08  -0.47 0.08  -0.53 0.1 -0.67 0.11
HD220009  NARVAL_HD220009 BS_NARVAL 376.0 80000.0 HIP115227 FGK giants  4217  59  1.43  0.12  1.227 5.414 1.0 1.0 -0.75 0.13  -0.49 0.07  -0.67 0.07  -0.74 0.07  -0.35 0.09  -1.11 0.13  -0.74 0.07  -0.64 0.08  -0.47 0.08  -0.53 0.1 -0.67 0.11
HD22879 HARPS.GBOG_HD22879  BS_HARPS  322.0 115000.0  HIP17147  G dwarfs  5868  89  4.27  0.04  1.086 5.075 4.4 1.0 -0.88 0.05  -0.53 0.08  -0.74 0.07  -0.86 0.11  -0.48 0.09  -1.16 0.11  -0.85 0.11  -0.79 0.08  -0.59 0.08  -0.55 0.11  -0.73 0.14
HD22879 NARVAL_HD22879  BS_NARVAL 297.0 80000.0 HIP17147  G dwarfs  5868  89  4.27  0.04  1.086 5.075 4.4 1.0 -0.88 0.05  -0.53 0.08  -0.74 0.07  -0.86 0.11  -0.48 0.09  -1.16 0.11  -0.85 0.11  -0.79 0.08  -0.59 0.08  -0.55 0.11  -0.73 0.14
HD298986  UVES_HD298986 BS_UVES 173.0 51690.0 HIP50382  Metal-poor  6223  100 4.19  0.19  1.48  7.88  4.07  5.98  -1.31 0.14  NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
HD49933 ESPaDOnS_HD49933-1  BS_ESPaDOnS 1169.0  65000.0 HIP32851  F dwarfs  6635  91  4.2 0.03  1.479 10.826  10.0  0.5 -0.46 0.08  -0.34 0.1 NaN NaN -0.53 0.1 -0.36 0.06  -0.61 0.12  -0.53 0.12  -0.49 0.07  -0.38 0.08  -0.39 0.09  -0.26 0.11
HD49933 HARPS.Archive_HD49933 BS_HARPS  319.0 115000.0  HIP32851  F dwarfs  6635  91  4.2 0.03  1.479 10.826  10.0  0.5 -0.46 0.08  -0.34 0.1 NaN NaN -0.53 0.1 -0.36 0.06  -0.61 0.12  -0.53 0.12  -0.49 0.07  -0.38 0.08  -0.39 0.09  -0.26 0.11
HD84937 HARPS.GBOG_HD84937-1  BS_HARPS  546.0 115000.0  HIP48152  F dwarfs  6356  97  4.06  0.04  1.292 8.589 5.2 2.0 -2.09 0.08  -1.67 0.1 NaN NaN -2.23 0.1 -1.76 0.12  NaN NaN -2.06 0.15  -1.9  0.16  -1.73 0.18  -1.66 0.12  NaN NaN
HD84937 NARVAL_HD84937  BS_NARVAL 212.0 80000.0 HIP48152  F dwarfs  6356  97  4.06  0.04  1.292 8.589 5.2 2.0 -2.09 0.08  -1.67 0.1 NaN NaN -2.23 0.1 -1.76 0.12  NaN NaN -2.06 0.15  -1.9  0.16  -1.73 0.18  -1.66 0.12  NaN NaN
HD84937 UVES_HD84937-1  BS_UVES 224.0 72000.0 HIP48152  F dwarfs  6356  97  4.06  0.04  1.292 8.589 5.2 2.0 -2.09 0.08  -1.67 0.1 NaN NaN -2.23 0.1 -1.76 0.12  NaN NaN -2.06 0.15  -1.9  0.16  -1.73 0.18  -1.66 0.12  NaN NaN
HD84937 UVES_HD84937-2  BS_UVES 130.0 74450.0 HIP48152  F dwarfs  6356  97  4.06  0.04  1.292 8.589 5.2 2.0 -2.09 0.08  -1.67 0.1 NaN NaN -2.23 0.1 -1.76 0.12  NaN NaN -2.06 0.15  -1.9  0.16  -1.73 0.18  -1.66 0.12  NaN NaN
HD84937 UVES.POP_HD84937  BS_UVES.POP 538.0 80000.0 HIP48152  F dwarfs  6356  97  4.06  0.04  1.292 8.589 5.2 2.0 -2.09 0.08  -1.67 0.1 NaN NaN -2.23 0.1 -1.76 0.12  NaN NaN -2.06 0.15  -1.9  0.16  -1.73 0.18  -1.66 0.12  NaN NaN
Procyon ESPaDOnS_Procyon-1  BS_ESPaDOnS 571.0 65000.0 HIP37279  F dwarfs  6554  84  4.0 0.02  1.482 9.569 2.8 0.6 -0.04 0.08  0.04  0.08  -0.1  0.06  -0.12 0.09  -0.04 0.08  -0.13 0.09  -0.11 0.09  -0.13 0.07  -0.03 0.08  -0.07 0.1 -0.14 0.1
Procyon HARPS.GBOG_Procyon  BS_HARPS  369.0 115000.0  HIP37279  F dwarfs  6554  84  4.0 0.02  1.482 9.569 2.8 0.6 -0.04 0.08  0.04  0.08  -0.1  0.06  -0.12 0.09  -0.04 0.08  -0.13 0.09  -0.11 0.09  -0.13 0.07  -0.03 0.08  -0.07 0.1 -0.14 0.1
Procyon NARVAL_Procyon  BS_NARVAL 763.0 80000.0 HIP37279  F dwarfs  6554  84  4.0 0.02  1.482 9.569 2.8 0.6 -0.04 0.08  0.04  0.08  -0.1  0.06  -0.12 0.09  -0.04 0.08  -0.13 0.09  -0.11 0.09  -0.13 0.07  -0.03 0.08  -0.07 0.1 -0.14 0.1
Procyon UVES_Procyon-1  BS_UVES 360.0 75000.0 HIP37279  F dwarfs  6554  84  4.0 0.02  1.482 9.569 2.8 0.6 -0.04 0.08  0.04  0.08  -0.1  0.06  -0.12 0.09  -0.04 0.08  -0.13 0.09  -0.11 0.09  -0.13 0.07  -0.03 0.08  -0.07 0.1 -0.14 0.1
Procyon UVES_Procyon-2  BS_UVES 211.0 74450.0 HIP37279  F dwarfs  6554  84  4.0 0.02  1.482 9.569 2.8 0.6 -0.04 0.08  0.04  0.08  -0.1  0.06  -0.12 0.09  -0.04 0.08  -0.13 0.09  -0.11 0.09  -0.13 0.07  -0.03 0.08  -0.07 0.1 -0.14 0.1
Procyon UVES.POP_Procyon  BS_UVES.POP 1016.0  80000.0 HIP37279  F dwarfs  6554  84  4.0 0.02  1.482 9.569 2.8 0.6 -0.04 0.08  0.04  0.08  -0.1  0.06  -0.12 0.09  -0.04 0.08  -0.13 0.09  -0.11 0.09  -0.13 0.07  -0.03 0.08  -0.07 0.1 -0.14 0.1
Sun ATLAS.Sun BS_ATLAS  581.0 150000.0  NaN G dwarfs  5771  1 4.438 0.0002  1.062 4.0 1.6 0.3 0.02  0.05  0.0 0.1 0.0 0.09  0.0 0.07  0.0 0.08  0.0 0.1 0.0 0.11  0.0 0.15  0.0 0.08  0.0 0.08  0.0 0.05
Sun HARPS.Archive_Sun-4 BS_HARPS  549.0 115000.0  NaN G dwarfs  5771  1 4.438 0.0002  1.062 4.0 1.6 0.3 0.02  0.05  0.0 0.1 0.0 0.09  0.0 0.07  0.0 0.08  0.0 0.1 0.0 0.11  0.0 0.15  0.0 0.08  0.0 0.08  0.0 0.05
Sun HARPS.Archive_Sun-1 BS_HARPS  254.0 115000.0  NaN G dwarfs  5771  1 4.438 0.0002  1.062 4.0 1.6 0.3 0.02  0.05  0.0 0.1 0.0 0.09  0.0 0.07  0.0 0.08  0.0 0.1 0.0 0.11  0.0 0.15  0.0 0.08  0.0 0.08  0.0 0.05
Sun HARPS.Archive_Sun-2 BS_HARPS  367.0 115000.0  NaN G dwarfs  5771  1 4.438 0.0002  1.062 4.0 1.6 0.3 0.02  0.05  0.0 0.1 0.0 0.09  0.0 0.07  0.0 0.08  0.0 0.1 0.0 0.11  0.0 0.15  0.0 0.08  0.0 0.08  0.0 0.05
Sun HARPS.Archive_Sun-3 BS_HARPS  194.0 115000.0  NaN G dwarfs  5771  1 4.438 0.0002  1.062 4.0 1.6 0.3 0.02  0.05  0.0 0.1 0.0 0.09  0.0 0.07  0.0 0.08  0.0 0.1 0.0 0.11  0.0 0.15  0.0 0.08  0.0 0.08  0.0 0.05
Sun NARVAL_Sun-1  BS_NARVAL 828.0 80000.0 NaN G dwarfs  5771  1 4.438 0.0002  1.062 4.0 1.6 0.3 0.02  0.05  0.0 0.1 0.0 0.09  0.0 0.07  0.0 0.08  0.0 0.1 0.0 0.11  0.0 0.15  0.0 0.08  0.0 0.08  0.0 0.05
Sun NARVAL_Sun_Metis  BS_NARVAL 45.0  80000.0 NaN G dwarfs  5771  1 4.438 0.0002  1.062 4.0 1.6 0.3 0.02  0.05  0.0 0.1 0.0 0.09  0.0 0.07  0.0 0.08  0.0 0.1 0.0 0.11  0.0 0.15  0.0 0.08  0.0 0.08  0.0 0.05
Sun UVES_Sun-1  BS_UVES 383.0 78000.0 NaN G dwarfs  5771  1 4.438 0.0002  1.062 4.0 1.6 0.3 0.02  0.05  0.0 0.1 0.0 0.09  0.0 0.07  0.0 0.08  0.0 0.1 0.0 0.11  0.0 0.15  0.0 0.08  0.0 0.08  0.0 0.05
Sun UVES_Sun-2  BS_UVES 48.0  80930.0 NaN G dwarfs  5771  1 4.438 0.0002  1.062 4.0 1.6 0.3 0.02  0.05  0.0 0.1 0.0 0.09  0.0 0.07  0.0 0.08  0.0 0.1 0.0 0.11  0.0 0.15  0.0 0.08  0.0 0.08  0.0 0.05
alfCenA HARPS.Archive_alfCenA-w BS_HARPS  448.0 115000.0  HIP86796  G dwarfs  5792  16  4.31  0.01  1.103 4.226 1.9 0.6 0.24  0.08  0.19  0.04  0.27  0.04  0.21  0.05  0.24  0.06  0.25  0.05  0.25  0.05  0.3 0.06  0.25  0.03  0.21  0.05  0.24  0.07
alfCenA HARPS.Archive_alfCenA BS_HARPS  496.0 115000.0  HIP86796  G dwarfs  5792  16  4.31  0.01  1.103 4.226 1.9 0.6 0.24  0.08  0.19  0.04  0.27  0.04  0.21  0.05  0.24  0.06  0.25  0.05  0.25  0.05  0.3 0.06  0.25  0.03  0.21  0.05  0.24  0.07
alfCenA UVES_alfCenA-1  BS_UVES 316.0 85000.0 HIP86796  G dwarfs  5792  16  4.31  0.01  1.103 4.226 1.9 0.6 0.24  0.08  0.19  0.04  0.27  0.04  0.21  0.05  0.24  0.06  0.25  0.05  0.25  0.05  0.3 0.06  0.25  0.03  0.21  0.05  0.24  0.07
alfCenB HARPS.Archive_alfCenB-w BS_HARPS  469.0 115000.0  HIP71681  G dwarfs  5231  20  4.53  0.03  0.916 2.802 1.0 0.6 0.22  0.1 0.23  0.08  0.29  0.06  0.27  0.07  0.3 0.1 0.23  0.15  0.27  0.09  0.3 0.1 0.23  0.06  0.29  0.11  0.36  0.09
alfCet  HARPS.GBOG_alfCet BS_HARPS  229.0 115000.0  HIP14135  M giants  3796  65  0.68  0.23  1.36  5.432 3.0 2.0 -0.45 0.47  -0.46 0.19  -0.33 0.21  -0.47 0.28  -0.27 0.36  -0.46 0.22  -0.64 0.28  -0.4  0.31  -0.52 0.2 -0.53 0.19  -0.17 0.37
alfCet  NARVAL_alfCet BS_NARVAL 292.0 80000.0 HIP14135  M giants  3796  65  0.68  0.23  1.36  5.432 3.0 2.0 -0.45 0.47  -0.46 0.19  -0.33 0.21  -0.47 0.28  -0.27 0.36  -0.46 0.22  -0.64 0.28  -0.4  0.31  -0.52 0.2 -0.53 0.19  -0.17 0.37
alfCet  UVES_alfCet-1 BS_UVES 207.0 90000.0 HIP14135  M giants  3796  65  0.68  0.23  1.36  5.432 3.0 2.0 -0.45 0.47  -0.46 0.19  -0.33 0.21  -0.47 0.28  -0.27 0.36  -0.46 0.22  -0.64 0.28  -0.4  0.31  -0.52 0.2 -0.53 0.19  -0.17 0.37
alfTau  HARPS.GBOG_alfTau BS_HARPS  69.0  115000.0  HIP21421  M giants  3927  40  1.11  0.19  1.356 5.118 5.0 1.0 -0.37 0.17  -0.34 0.15  -0.25 0.22  -0.3  0.31  -0.17 0.18  -0.49 0.21  -0.4  0.29  -0.26 0.29  -0.18 0.21  -0.34 0.23  -0.2  0.35
alfTau  NARVAL_alfTau BS_NARVAL 313.0 80000.0 HIP21421  M giants  3927  40  1.11  0.19  1.356 5.118 5.0 1.0 -0.37 0.17  -0.34 0.15  -0.25 0.22  -0.3  0.31  -0.17 0.18  -0.49 0.21  -0.4  0.29  -0.26 0.29  -0.18 0.21  -0.34 0.23  -0.2  0.35
alfTau  UVES_alfTau BS_UVES 147.0 107200.0  HIP21421  M giants  3927  40  1.11  0.19  1.356 5.118 5.0 1.0 -0.37 0.17  -0.34 0.15  -0.25 0.22  -0.3  0.31  -0.17 0.18  -0.49 0.21  -0.4  0.29  -0.26 0.29  -0.18 0.21  -0.34 0.23  -0.2  0.35
betAra  HARPS.GBOG_betAra BS_HARPS  414.0 115000.0  HIP85258  M giants  4197  50  1.05  0.15  1.237 5.123 5.4 1.0 -0.05 0.39  -0.14 0.2 -0.08 0.21  -0.22 0.23  0.13  0.1 NaN NaN -0.14 0.35  -0.72 0.26  0.23  0.32  -0.41 0.26  -0.47 0.41
betGem  HARPS.GBOG_betGem BS_HARPS  370.0 115000.0  HIP37826  FGK giants  4858  60  2.9 0.08  1.22  3.684 2.0 1.0 0.12  0.16  0.08  0.16  0.02  0.09  0.08  0.08  -0.09 0.09  -0.16 0.17  0.09  0.09  0.06  0.14  0.14  0.08  0.06  0.11  0.06  0.19
betGem  UVES_betGem BS_UVES 163.0 107200.0  HIP37826  FGK giants  4858  60  2.9 0.08  1.22  3.684 2.0 1.0 0.12  0.16  0.08  0.16  0.02  0.09  0.08  0.08  -0.09 0.09  -0.16 0.17  0.09  0.09  0.06  0.14  0.14  0.08  0.06  0.11  0.06  0.19
betHyi  HARPS.Archive_betHyi-w  BS_HARPS  428.0 115000.0  HIP2021 FGK subgiants 5873  45  3.98  0.02  1.165 4.786 3.3 0.3 -0.07 0.06  -0.06 0.06  -0.08 0.05  -0.1  0.07  -0.04 0.05  -0.12 0.06  -0.09 0.05  -0.04 0.05  -0.07 0.04  -0.07 0.06  -0.08 0.06
betHyi  UVES_betHyi-1 BS_UVES 419.0 78000.0 HIP2021 FGK subgiants 5873  45  3.98  0.02  1.165 4.786 3.3 0.3 -0.07 0.06  -0.06 0.06  -0.08 0.05  -0.1  0.07  -0.04 0.05  -0.12 0.06  -0.09 0.05  -0.04 0.05  -0.07 0.04  -0.07 0.06  -0.08 0.06
betHyi  UVES_betHyi-2 BS_UVES 96.0  74450.0 HIP2021 FGK subgiants 5873  45  3.98  0.02  1.165 4.786 3.3 0.3 -0.07 0.06  -0.06 0.06  -0.08 0.05  -0.1  0.07  -0.04 0.05  -0.12 0.06  -0.09 0.05  -0.04 0.05  -0.07 0.04  -0.07 0.06  -0.08 0.06
